,airmass_relative,airmass_absolute,ghi,dni,dhi,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,sunrise,sunset,transit
2022-10-03 20:00:00+05:00,1.8656121778905859,1.7027097595089686,507.43321728036443,783.3271030665541,88.56845242735136,57.674720934492775,57.69891118571191,32.325279065507225,32.30108881428809,130.0397631045259,11.004991313988285,2022-10-04 16:51:51.573545+05:00,2022-10-04 04:32:01.627922+05:00,2022-10-03 22:41:45.817565+05:00
2022-10-03 21:00:00+05:00,1.5534452479021241,1.4178007711423202,637.6689806442535,835.3970341181607,100.69950970088962,50.001198973194235,50.01948321964777,39.998801026805765,39.98051678035223,145.9933614964209,11.017977584560867,2022-10-04 16:51:51.575202+05:00,2022-10-04 04:32:01.632562+05:00,2022-10-03 22:41:45.817565+05:00
2022-10-03 22:00:00+05:00,1.4190030048742237,1.2950978203325145,711.8024916516977,858.8754248584993,107.23725093355245,45.25898919774437,45.274482102726296,44.74101080225563,44.725517897273704,165.2584141653349,11.030954670655774,2022-10-04 16:51:51.576842+05:00,2022-10-04 04:32:01.637221+05:00,2022-10-03 22:41:45.817565+05:00
2022-10-03 23:00:00+05:00,1.3991526453793728,1.2769807640427875,723.9760194517056,862.3974676351189,108.29113554854496,44.44504326306101,44.460103652645614,45.55495673693899,45.539896347354386,186.50079261316296,11.043922546858084,2022-10-04 16:51:51.578486+05:00,2022-10-04 04:32:01.641884+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 00:00:00+05:00,1.4858388795088069,1.356097688029721,674.7560041054187,851.019757786834,102.75747972386534,47.7680894211817,47.784996850878315,42.2319105788183,42.215003149121685,206.80321422098004,11.056881188087573,2022-10-04 16:51:51.580128+05:00,2022-10-04 04:32:01.646540+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 01:00:00+05:00,1.716683766198976,1.5667855502543988,564.940729623498,811.9719277000535,92.87144967232751,54.4518997071566,54.4733460494013,35.5481002928434,35.5266539505987,224.05047130752033,11.069830569256737,2022-10-04 16:51:51.581779+05:00,2022-10-04 04:32:01.651184+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 02:00:00+05:00,2.22429779128596,2.0300754905872864,405.1308814879499,732.2943061502151,77.13743388947557,63.39107282127261,63.421534195772104,26.60892717872739,26.578465804227896,238.08844197564494,11.082770664754207,2022-10-04 16:51:51.583440+05:00,2022-10-04 04:32:01.655806+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 03:00:00+05:00,3.5208128249316486,3.2133808030744153,211.58298406087627,562.4954245130293,53.57663953920806,73.68592670455939,73.73729977047238,16.314073295440615,16.262700229527624,249.75659023108682,11.09570144936879,2022-10-04 16:51:51.585110+05:00,2022-10-04 04:32:01.660398+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 04:00:00+05:00,9.781032843623699,8.92696792950103,28.88964526984941,157.37440823014802,14.282294508693187,84.6741913091687,84.81684395574787,5.325808690831289,5.183156044252123,260.00890638306606,11.108622897751047,2022-10-04 16:51:51.586806+05:00,2022-10-04 04:32:01.664959+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 05:00:00+05:00,,,0.0,0.0,0.0,96.24386520960462,96.24386520960462,-6.243865209604628,-6.243865209604628,269.68341485113024,11.121534984267782,2022-10-04 16:51:51.588522+05:00,2022-10-05 04:30:25.101104+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 06:00:00+05:00,,,0.0,0.0,0.0,107.67977484352322,107.67977484352322,-17.679774843523223,-17.679774843523223,279.56353022971854,11.134437683416763,2022-10-04 16:51:51.590260+05:00,2022-10-05 04:30:25.101098+05:00,2022-10-04 22:41:27.314370+05:00
